canonical_name,current_size,corrected_size,confidence,rationale
mindbank consulting group,null,exclude,medium,"Staffing agency"
harvey nash,null,exclude,medium,"Recruitment agency"
quality talent group,null,exclude,medium,"Recruitment agency"
us tech solutions inc,null,exclude,medium,"Staffing agency"
veerteq solutions inc.,null,exclude,medium,"Staffing agency"
purple drive,null,exclude,medium,"Unknown"
msi reproductive choices,null,exclude,medium,"Healthcare org"
encora,null,enterprise,medium,"7000+ employees, software services"
interex group,null,exclude,medium,"Staffing agency"
morgan mckinley,null,exclude,medium,"Recruitment agency"
talent international uk ltd,null,exclude,medium,"Recruitment agency"
jacobs massey,null,exclude,medium,"Unknown"
dardano's shoes,null,exclude,low,"Retail - not relevant"
tokyo joes llc,null,exclude,low,"Restaurant chain - not relevant"
tms llc,null,exclude,medium,"Unknown"
innovim,null,exclude,medium,"Unknown"
blank space recruitment,null,exclude,medium,"Recruitment agency"
skilled careers ltd,null,exclude,medium,"Recruitment agency"
pri technology,null,exclude,medium,"Unknown"
shulman fleming & partners,null,exclude,medium,"Recruitment agency"
sealaska,null,enterprise,medium,"Alaska Native Corporation, 4000+ employees"
magnet medical,null,exclude,medium,"Healthcare staffing"
imanage,null,enterprise,medium,"700+ employees, document management"
staffworx limited,null,exclude,medium,"Staffing agency"
achieving stars therapy,null,exclude,medium,"Unknown"
summer browning associates,null,exclude,medium,"Recruitment agency"

# CORRECT CLASSIFICATIONS - Verified as accurate
databricks,enterprise,enterprise,high,"6000+ employees, correctly classified"
stripe,enterprise,enterprise,high,"8000+ employees, correctly classified"
airbnb,enterprise,enterprise,high,"6000+ employees, correctly classified"
coinbase,enterprise,enterprise,high,"3000+ employees, correctly classified"
robinhood,enterprise,enterprise,high,"3200+ employees, correctly classified"
samsara,enterprise,enterprise,high,"2500+ employees, correctly classified"
cloudflare,enterprise,enterprise,high,"4000+ employees, correctly classified"
datadog,enterprise,enterprise,high,"5000+ employees, correctly classified"
mongodb,enterprise,enterprise,high,"5000+ employees, correctly classified"
twilio,enterprise,enterprise,high,"5000+ employees, correctly classified"
okta,enterprise,enterprise,high,"5000+ employees, correctly classified"
confluent,enterprise,enterprise,high,"3000+ employees, correctly classified"
elastic,enterprise,enterprise,high,"3000+ employees, correctly classified"
servicenow,enterprise,enterprise,high,"22000+ employees, correctly classified"
snowflake,enterprise,enterprise,high,"7000+ employees, correctly classified"
atlassian,enterprise,enterprise,high,"11000+ employees, correctly classified"
spotify,enterprise,enterprise,high,"10000+ employees, correctly classified"
zoom,enterprise,enterprise,high,"8000+ employees, correctly classified"
salesforce,enterprise,enterprise,high,"70000+ employees, correctly classified"
adobe,enterprise,enterprise,high,"29000+ employees, correctly classified"
intuit,enterprise,enterprise,high,"17000+ employees, correctly classified"
meta,enterprise,enterprise,high,"67000+ employees, correctly classified"
google,enterprise,enterprise,high,"180000+ employees, correctly classified"
amazon,enterprise,enterprise,high,"1.5M+ employees, correctly classified"
apple,enterprise,enterprise,high,"160000+ employees, correctly classified"
microsoft,enterprise,enterprise,high,"220000+ employees, correctly classified"
uber,enterprise,enterprise,high,"32000+ employees, correctly classified"
linkedin,enterprise,enterprise,high,"20000+ employees, correctly classified"
carta,enterprise,enterprise,high,"2000+ employees, correctly classified"
klaviyo,enterprise,enterprise,high,"2000+ employees, correctly classified"
notion,enterprise,enterprise,high,"500+ employees, correctly classified"
deel,enterprise,enterprise,high,"3000+ employees, correctly classified"
toast,enterprise,enterprise,high,"5000+ employees, correctly classified"
docusign,enterprise,enterprise,high,"7000+ employees, correctly classified"
autodesk,enterprise,enterprise,high,"13000+ employees, correctly classified"
coursera,enterprise,enterprise,high,"1200+ employees, correctly classified"
squarespace,enterprise,enterprise,high,"1700+ employees, correctly classified"
